CASENUM,COHORT,RSTEMM,EMTHIRT,FEMALE,CB28A,CB28B,CB28C,CB28E,CB28G,CB28H,CB28I,CB28K,CB28L
1001,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1002,2,-95,-98,0,2,2,2,2,2,2,2,2,2
1003,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1004,2,0,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1005,2,0,59.4,1,5,2,1,5,5,2,2,1,3
1006,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1007,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1008,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1009,2,0,62.49,0,1,2,2,3,4,2,2,1,2
1010,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1011,2,0,71.58,0,1,1,1,5,4,1,1,1,1
1012,2,-95,56.72,1,4,2,-96,4,5,2,3,3,2
1013,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1014,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1015,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1016,2,0,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1017,2,1,91.26,0,1,2,2,4,4,1,1,1,2
1018,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1019,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1020,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1021,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1022,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1023,2,1,72.72,0,2,1,1,5,5,1,3,1,1
1024,2,0,44.42,0,3,2,4,3,2,2,2,1,3
1025,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1026,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1027,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1028,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1029,2,-95,45.31,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1030,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1031,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1032,2,-95,-98,1,1,1,1,4,4,1,1,1,1
1033,2,0,52.19,0,4,3,3,3,2,2,2,2,1
1034,2,-95,52.61,1,3,3,2,1,4,1,1,1,3
1035,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1036,2,-95,54.14,1,1,1,-96,5,5,1,-98,1,1
1037,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1038,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1039,2,0,-98,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
1040,2,-95,51.89,0,2,2,2,4,5,1,1,1,1
1041,2,-95,56.31,0,1,1,1,1,1,1,1,1,1
1042,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1043,2,0,-98,0,1,1,2,5,5,3,3,1,1
1044,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1045,2,1,83.25,0,4,2,3,4,4,2,2,2,2
1046,2,0,-98,1,2,2,2,3,3,4,4,3,3
1047,2,0,-98,1,2,2,2,4,5,2,2,1,2
1048,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1049,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1050,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1051,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1052,2,0,58.06,1,1,1,1,4,4,2,4,4,2
1053,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1054,2,-95,65.93,1,2,1,1,3,3,3,2,3,2
1055,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1056,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1057,2,0,33.67,1,2,4,-98,2,2,2,2,2,2
1058,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1059,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1060,2,0,61.82,1,4,4,2,2,5,2,2,2,2
1061,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1062,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1063,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1064,2,0,39.4,1,4,3,2,2,4,5,4,2,1
1065,2,0,60.02,1,1,2,1,5,2,2,2,3,2
1066,2,0,55.95,1,3,3,2,2,2,4,2,2,3
1067,2,-95,57.94,1,2,1,1,5,4,1,1,1,2
1068,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1069,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1070,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1071,2,-95,64.62,1,1,1,1,5,5,2,2,4,2
1072,2,0,66.64,0,2,2,2,-98,4,2,2,2,2
1073,2,0,70.08,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1074,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1075,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1076,2,0,-98,0,2,2,2,4,4,3,3,2,3
1077,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1078,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1079,2,0,-98,1,3,3,4,3,1,3,4,2,1
1080,2,0,36.56,0,3,3,2,3,4,2,2,2,2
1081,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1082,2,0,-98,1,2,2,2,4,4,2,2,2,2
1083,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1084,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1085,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1086,2,0,59.99,1,2,2,2,4,3,3,3,2,3
1087,2,-95,57.19,1,3,2,2,4,4,2,3,2,2
1088,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1089,2,-95,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1090,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1091,2,-95,-98,0,1,1,2,2,3,1,1,1,1
1092,2,0,-96,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
1093,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1094,2,-95,43.35,1,3,4,3,3,4,3,1,1,1
1095,2,-95,75.61,0,1,1,1,2,4,2,1,1,1
1096,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1097,2,0,50.59,0,2,2,2,2,2,2,2,3,2
1098,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1099,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1100,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1101,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1102,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1103,2,0,44.24,1,2,4,1,2,1,1,1,3,1
1104,2,0,68.58,1,3,1,1,3,4,2,2,2,3
1105,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1106,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1107,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1108,2,-95,73.83,1,2,3,2,3,3,2,3,3,2
1109,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1110,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1111,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1112,2,0,-98,1,2,3,2,4,4,3,2,3,3
1113,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1114,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1115,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1116,2,-95,54.21,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1117,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1118,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1119,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1120,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1121,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1122,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1123,2,0,50.86,0,1,2,2,4,4,1,1,1,1
1124,2,0,73.38,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
1125,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1126,2,0,69.21,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1127,2,-95,40.46,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1128,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1129,2,0,51.19,0,3,2,2,-98,4,-98,2,1,2
1130,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
